Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
1,2011-12-02,48.91,3.172,5629.51,68.0,1398.11,2084.64,20475.32,218.7147333,7.866,False
1,2011-12-09,43.93,3.158,4640.65,19.0,105.02,3639.42,14461.82,218.9618456,7.866,False
1,2011-12-16,51.63,3.159,5011.32,67.0,347.37,225.79,4011.37,219.1794533,7.866,False
1,2011-12-23,47.96,3.112,2725.36,40.48,634.7,24.9,2739.43,219.3577216,7.866,False
1,2011-12-30,44.55,3.129,5762.1,46011.38,260.36,983.65,4735.78,219.5359898,7.866,True
2,2011-12-02,48.74,3.172,8010.99,83.47,1897.27,4444.0,28238.93,218.3590319,7.441,False
2,2011-12-09,41.76,3.158,11472.59,40.0,306.43,4160.55,8899.08,218.605037,7.441,False
2,2011-12-16,50.13,3.159,4908.83,61.03,341.49,469.8,4744.27,218.8217928,7.441,False
2,2011-12-23,46.66,3.112,2971.04,15.18,1501.75,88.76,6437.61,218.9995495,7.441,False
2,2011-12-30,44.57,3.129,8321.44,92523.94,139.53,1515.4,3027.69,219.1773063,7.441,True
3,2011-12-02,54.97,3.172,850.86,18.94,781.71,394.29,7297.1,222.1589519,7.197,False
3,2011-12-09,49.26,3.158,4059.38,6.47,123.42,833.44,3018.08,222.4167852,7.197,False
3,2011-12-16,57.95,3.159,1864.61,10533.551183431951,170.36,187.42,1500.38,222.6426418,7.197,False
3,2011-12-23,53.41,3.112,89.98,0.24,411.52,1402.989427083333,586.66,222.8258628,7.197,False
3,2011-12-30,48.29,3.129,1449.16,14356.07,66.66,81.43,777.35,223.0090839,7.197,True
4,2011-12-02,38.71,3.176,9762.39,160.94,2260.29,4767.86,28604.2,129.8459667,5.143,False
4,2011-12-09,31.64,3.153,5857.72,30.0,984.98,4692.5,13503.99,129.8555333,5.143,False
4,2011-12-16,36.44,3.149,2756.67,72.3,1790.15,777.65,10261.95,129.8980645,5.143,False
4,2011-12-23,35.92,3.103,2461.94,69.05,2938.24,52.0,4396.76,129.9845484,5.143,False
4,2011-12-30,36.89,3.119,3496.13,72413.71,399.77,776.26,5012.53,130.0710323,5.143,True
5,2011-12-02,51.14,3.172,2359.44,4.0,658.01,901.67,24751.93,219.2917287,6.3,False
5,2011-12-09,44.12,3.158,2546.5,10533.551183431951,83.07,523.27,3118.64,219.540637,6.3,False
5,2011-12-16,54.42,3.159,802.42,10533.551183431951,78.77,319.84,1940.54,219.7596266,6.3,False
5,2011-12-23,50.33,3.112,225.21,0.15,427.57,1402.989427083333,1443.04,219.9387246,6.3,False
5,2011-12-30,45.62,3.129,1938.28,17079.76,72.93,162.33,1211.95,220.1178226,6.3,True
6,2011-12-02,51.18,3.172,6264.18,74.94,2885.14,3904.82,27272.53,220.2937686,6.551,False
6,2011-12-09,43.64,3.158,5473.33,42.0,282.45,4436.51,11311.24,220.5457961,6.551,False
6,2011-12-16,53.27,3.159,7070.01,27.0,603.98,508.56,4788.85,220.7671856,6.551,False
6,2011-12-23,49.45,3.112,2143.54,55.54,1417.2,23.41,5336.5,220.9477245,6.551,False
6,2011-12-30,46.8,3.129,6098.54,82881.16,326.68,814.58,2728.99,221.1282634,6.551,True
