Dept,Date,Weekly_Sales,IsHoliday,Store
60,2011-12-02,7901.002530428583,0.0,0
98,2011-12-30,3.249147312160801,1.0,0
1,2011-12-30,3432.1238552778177,1.0,0
6,2011-12-16,1642.857317267191,0.0,0
96,2011-12-30,5508.182393828439,1.0,0
71,2011-12-30,66706.38757998578,1.0,0
42,2011-12-02,6664.009013454402,0.0,0
24,2011-12-16,7328.807780861723,0.0,0
13,2011-12-16,31891.83671291649,0.0,0
65,2011-12-09,383.9580668218092,0.0,0
26,2011-12-23,22.65846037032053,0.0,0
94,2011-12-30,168.43028837376667,1.0,0
3,2011-12-09,608.6763549324521,0.0,0
23,2011-12-02,24695.83820550397,0.0,0
92,2011-12-09,49635.22848993888,0.0,0
28,2011-12-02,906.2226681277876,0.0,0
85,2011-12-30,4905.596321527155,1.0,0
41,2011-12-16,2113.2233416796757,0.0,0
94,2011-12-09,49520.62069880353,0.0,0
25,2011-12-23,61.63025701077387,0.0,0
16,2011-12-23,6856.099481904144,0.0,0
80,2011-12-16,95.05136769097952,0.0,0
85,2011-12-23,7834.874174634648,0.0,0
17,2011-12-02,24198.593066688427,0.0,0
59,2011-12-23,244.82022379339432,0.0,0
80,2011-12-02,401.3027635695044,0.0,0
32,2011-12-23,7719.930851499429,0.0,0
60,2011-12-30,105.14317265154176,1.0,0
54,2011-12-02,393.4631954438303,0.0,0
28,2011-12-16,73.34707129856606,0.0,0
92,2011-12-02,29075.403247477883,0.0,0
93,2011-12-16,511.1792004064815,0.0,0
95,2011-12-30,36604.08218704835,1.0,0
59,2011-12-23,21378.04184698653,0.0,0
16,2011-12-23,6973.743103211219,0.0,0
90,2011-12-16,52512.96350240888,0.0,0
94,2011-12-16,202.44221968317612,0.0,0
28,2011-12-02,927.9826376637571,0.0,0
10,2011-12-09,424.25870138476256,0.0,0
80,2011-12-30,11241.876047217673,1.0,0
17,2011-12-09,19097.814842151085,0.0,0
6,2011-12-09,1014.3894618081032,0.0,0
55,2011-12-30,2355.8144095048606,1.0,0
16,2011-12-16,256.9748243558226,0.0,0
59,2011-12-02,792.0855065964649,0.0,0
74,2011-12-23,6173.246529530983,0.0,0
17,2011-12-16,471.55009646853273,0.0,0
1,2011-12-23,15948.202871132922,0.0,0
36,2011-12-09,718.2770838675233,0.0,0
26,2011-12-02,14.927379383906018,0.0,0
28,2011-12-09,162.17593819401898,0.0,0
