Type,Size,Store
C,40229.809550477534,0
B,101992.54219220077,1
B,140428.71564611318,2
A,202478.86826442112,3
A,198819.35770007997,4
B,112437.5139688986,5
B,115270.10679523814,6
C,42580.274852338895,7
A,202453.3945054766,8
B,140393.4225401726,9
A,202208.80448826888,10
C,39700.89076487798,11
B,128177.94396708166,12
A,207568.74268545987,13
A,203685.5460117996,14
B,120816.67073664207,15
A,200988.05676644217,16
B,96379.5869976833,17
B,123401.28198362987,18
A,202998.80831804744,19
B,121832.3571825031,20
B,139620.70971289172,21
C,39729.95814977668,22
B,126026.69153522776,23
A,206630.81511767177,24
B,37404.44961566728,25
A,182478.9873883176,26
B,119763.60878388798,27
C,39737.98296233329,28
A,205794.88112366543,29
C,39623.26121015179,30
B,93902.76555046569,31
B,119340.3627590201,32
B,118431.22959345052,33
B,112359.1322141625,34
A,204063.98066029928,35
A,203830.5099531286,36
A,202490.96095309124,37
B,120590.89915453708,38
B,37370.8854559081,39
B,37389.884274445394,40
B,70315.90293515398,41
C,39851.06519996022,42
C,39821.22421847432,43
A,205558.4274730192,44
