Store,Type,Size
0,C,34875
1,C,34875
2,A,193502
3,B,37652
4,B,80991
5,B,91150
6,A,122207
7,B,53591
8,A,79343
9,B,126276
10,A,161551
11,A,130653
12,A,131024
13,B,66787
14,A,184541
15,B,80970
16,C,34875
17,A,107464
18,B,94394
19,B,34875
20,C,34875
21,B,86534
22,C,34875
23,B,85674
24,B,88973
25,A,145504
26,A,97658
27,C,34875
28,A,211637
29,A,125260
30,B,75705
31,A,195368
32,C,34875
33,B,65318
34,A,80468
35,B,64391
36,A,141232
37,A,97101
38,B,76127
39,B,97724
40,B,94301
41,A,149608
42,C,34875
43,B,63428
44,A,147517
