Size,Type,Store
151315,A,0
202307,A,1
37392,B,2
205863,A,3
34875,B,4
202505,A,5
70713,B,6
155078,A,7
125833,B,8
126512,B,9
207499,A,10
112238,B,11
219622,A,12
200898,A,13
123737,B,14
57197,B,15
93188,B,16
120653,B,17
203819,A,18
203742,A,19
140167,B,20
119557,B,21
114533,B,22
203819,A,23
128107,B,24
152513,A,25
204184,A,26
206302,A,27
93638,B,28
42988,C,29
203750,A,30
203007,A,31
39690,A,32
158114,A,33
103681,B,34
39910,A,35
39910,C,36
39690,C,37
184109,A,38
155083,A,39
196321,A,40
39690,C,41
41062,C,42
39910,C,43
118221,B,44
