Store,Date,Dept,Weekly_Sales,IsHoliday,_is_imputed
0,2011-12-16,9,11717.37,True,False
0,2011-12-16,26,3866.22,True,False
0,2011-12-16,28,870.69,True,False
0,2011-12-16,29,3625.2,True,False
0,2011-12-16,30,4498.22,True,False
0,2011-12-16,32,4534.32,True,False
0,2011-12-16,33,5055.22,True,False
0,2011-12-16,38,2650.91,True,False
0,2011-12-16,42,6596.28,True,False
0,2011-12-16,25,3480.88,True,False
0,2011-12-16,23,20265.32,True,False
0,2011-12-16,31,4345.74,True,False
0,2011-12-16,36,3924.58,True,False
0,2011-12-16,44,9023.47,True,False
0,2011-12-16,55,881.71,True,False
0,2011-12-16,40,41460.09,True,False
0,2011-12-16,49,541.92,True,False
0,2011-12-16,55,151.39,True,False
0,2011-12-16,56,9584.12,True,False
0,2011-12-16,44,99.15,True,False
0,2011-12-16,24,7877.52,True,False
0,2011-12-16,38,10631.0,True,False
0,2011-12-16,20,7304.94,True,False
0,2011-12-16,21,6254.23,True,False
0,2011-12-16,52,2031.96,True,False
0,2011-12-16,1,35644.78,True,False
0,2011-12-16,2,40399.96,True,False
0,2011-12-16,3,11246.36,True,False
0,2011-12-16,4,24272.54,True,False
0,2011-12-16,5,91192.78,True,False
0,2011-12-16,6,7067.54,True,False
0,2011-12-16,7,30956.14,True,False
0,2011-12-16,8,25070.32,True,False
0,2011-12-16,26,5622.88,True,False
0,2011-12-16,11,11267.55,True,False
0,2011-12-16,12,4342.38,True,False
0,2011-12-16,13,11266.92,True,False
0,2011-12-16,14,14972.9,True,False
0,2011-12-16,16,2769.21,True,False
0,2011-12-16,17,11410.41,True,False
0,2011-12-16,18,24257.9,True,False
0,2011-12-16,19,1171.01,True,False
0,2011-12-16,10,15400.18,True,False
0,2011-12-23,26,4921.05,True,False
0,2011-12-23,19,2005.43,True,False
0,2011-12-23,20,8794.34,True,False
0,2011-12-23,21,7422.81,True,False
0,2011-12-23,25,8228.32,True,False
0,2011-12-23,23,21538.85,True,False
0,2011-12-23,24,14756.92,True,False
0,2011-12-23,18,49981.74,True,False
0,2011-12-23,22,6490.83,True,False
0,2011-12-23,17,7566.27,True,False
0,2011-12-23,11,12419.77,True,False
0,2011-12-23,14,21806.44,True,False
0,2011-12-23,13,12863.61,True,False
0,2011-12-23,12,5435.21,True,False
0,2011-12-23,10,11657.18,True,False
0,2011-12-23,9,17400.43,True,False
0,2011-12-23,8,28409.38,True,False
0,2011-12-23,7,42297.45,True,False
0,2011-12-23,6,8223.2,True,False
0,2011-12-23,16,1445.41,True,False
0,2011-12-23,26,3071.0,True,False
0,2011-12-23,46,689.9,True,False
0,2011-12-23,29,12356.06,True,False
0,2011-12-23,5,35801.82,True,False
0,2011-12-23,36,2541.24,True,False
0,2011-12-23,28,1260.75,True,False
0,2011-12-23,20,4191.09,True,False
0,2011-12-23,12,3477.06,True,False
0,2011-12-23,56,232.45,True,False
0,2011-12-23,52,90.48,True,False
0,2011-12-23,52,3552.8,True,False
0,2011-12-23,49,2536.5,True,False
0,2011-12-23,46,529.03,True,False
0,2011-12-23,45,5517.27,True,False
0,2011-12-23,44,9809.92,True,False
0,2011-12-23,42,9256.75,True,False
0,2011-12-23,42,6478.84,True,False
0,2011-12-23,41,3568.38,True,False
0,2011-12-23,35,1589.51,True,False
0,2011-12-23,33,2449.07,True,False
0,2011-12-23,32,2901.59,True,False
0,2011-12-23,30,3613.83,True,False
0,2011-12-23,28,696.4,True,False
0,2011-12-23,4,12830.79,True,False
0,2011-12-23,34,4301.85,True,False
0,2011-12-23,2,23138.69,True,False
0,2011-12-23,16,2416.92,True,False
0,2011-12-23,14,32059.07,True,False
0,2011-12-23,13,11470.0,True,False
0,2011-12-23,11,11697.75,True,False
0,2011-12-23,10,25132.62,True,False
0,2011-12-23,9,52929.32,True,False
0,2011-12-23,8,44448.81,True,False
0,2011-12-23,7,40002.51,True,False
0,2011-12-23,5,82567.56,True,False
0,2011-12-23,4,26522.36,True,False
0,2011-12-23,3,10366.34,True,False
0,2011-12-23,2,27767.13,True,False
0,2011-12-23,1,40859.64,True,False
0,2011-12-23,22,9487.32,True,False
0,2011-12-23,52,3261.03,True,False
0,2011-12-23,44,37838.77,True,False
0,2011-12-23,38,4315.92,True,False
0,2011-12-23,32,8631.87,True,False
0,2011-12-23,3,8104.13,True,False
0,2011-12-23,17,25109.4,True,False
0,2011-12-23,18,12622.5,True,False
0,2011-12-23,6,17463.45,True,False
0,2011-12-23,20,9106.84,True,False
0,2011-12-23,1,12766.36,True,False
0,2011-12-23,19,4442.59,True,False
0,2011-12-23,48,698.0,True,False
0,2011-12-23,49,401.38,True,False
0,2011-12-23,42,7995.71,True,False
0,2011-12-23,42,2257.32,True,False
0,2011-12-23,41,2125.2,True,False
0,2011-12-23,35,2112.94,True,False
0,2011-12-23,33,7557.82,True,False
0,2011-12-23,32,1397.32,True,False
0,2011-12-23,40,37906.21,True,False
0,2011-12-23,22,6620.5,True,False
0,2011-12-23,30,7666.06,True,False
0,2011-12-23,28,602.04,True,False
0,2011-12-23,27,1923.3,True,False
0,2011-12-23,25,6829.19,True,False
0,2011-12-23,24,9167.72,True,False
0,2011-12-23,23,45053.21,True,False
0,2011-12-23,30,8847.14,True,False
0,2011-12-23,21,12629.95,True,False
0,2011-12-30,20,5852.22,True,False
0,2011-12-30,21,11402.42,True,False
0,2011-12-30,22,2921.88,True,False
0,2011-12-30,23,8746.58,True,False
0,2011-12-30,26,7872.71,True,False
0,2011-12-30,25,4150.71,True,False
0,2011-12-30,27,846.32,True,False
0,2011-12-30,19,441.68,True,False
0,2011-12-30,24,9082.34,True,False
0,2011-12-30,18,13529.63,True,False
