Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,_is_imputed
0,2011-12-23,31.62,3.158,2825.76,10033.0,4.72,4199.7,7853.69,195.8663,8.306,True,False
0,2011-12-23,32.76,3.113,705.83,0.03,1658.68,10.0,2937.79,136.9309,8.906,True,False
0,2011-12-30,36.79,3.379,4525.39,10533.88,1380.5,599.86,11437.89,229.49,5.4,True,False
0,2011-12-30,36.82,3.119,3301.27,50042.0,366.94,579.49,3211.99,130.5872,8.513,True,False
1,2011-12-23,42.84,3.159,2908.09,40.0,0.98,969.44,5880.65,218.605,7.441,True,False
1,2011-12-23,15.36,3.17,525.0,0.46,638.93,237.0,4530.61,196.6984,6.713,True,False
1,2011-12-30,36.82,3.172,5032.31,2.0,398.71,1759.84,16604.92,195.159,6.443,True,False
1,2011-12-30,51.26,3.129,3583.28,31419.02,351.42,349.69,4594.08,130.1036,4.013,True,False
2,2011-12-23,30.43,3.145,2397.32,19.3,295.68,1499.46,4954.9,222.855,8.143,True,False
2,2011-12-23,36.42,3.113,225.34,12.28,1234.36,439.2,3437.65,196.0714,8.448,True,False
2,2011-12-30,51.79,3.172,3054.39,198.551,1706.31,692.67,10630.97,136.2579,7.148,True,False
2,2011-12-30,31.84,3.129,5824.92,16.27,70.75,678.0,2832.53,223.0572,8.441,True,False
3,2011-12-23,36.52,3.335,3371.81,2.0,10.99,4622.77,6368.65,218.8546,8.443,True,False
3,2011-12-23,39.4,3.113,2897.34,0.13,684.22,499.98,4337.95,196.9843,8.445,True,False
3,2011-12-30,50.41,3.172,2384.95,6.94,880.29,169.98,17531.93,195.359,6.443,True,False
3,2011-12-30,36.61,3.159,3371.44,34477.53,20.33,573.5,1774.95,223.6432,8.441,True,False
4,2011-12-23,31.64,3.641,3421.72,10532.5,2.06,1750.9894,6061.67,136.5051,4.141,True,False
