Store,Type,Size
0,B,103737
1,A,158114
2,A,155073
3,B,39690
4,C,39910
5,A,206302
6,A,203184
7,B,93688
8,B,37390
9,B,182238
10,B,120653
11,B,93188
12,B,125833
13,A,202507
14,B,114233
15,A,200819
16,B,93738
17,B,93738
18,C,41062
19,B,93638
20,A,215812
21,B,93738
22,A,203742
23,B,70375
24,A,200898
25,A,159692
26,B,114557
27,C,41062
28,A,203819
29,B,34175
30,B,34875
31,B,93688
32,A,205833
33,A,154199
34,B,119557
35,B,119537
36,C,39910
37,B,114533
38,B,128107
39,B,3187
40,A,203819
41,A,203184
42,A,202507
43,B,112238
44,A,293750
