Type,Size,Store
A,142811,0
C,40394,1
A,207499,2
B,103785,3
A,202804,4
B,77331,5
A,150556,6
A,203651,7
A,207487,8
A,202908,9
A,38528,10
A,203038,11
A,152106,12
A,39931,13
B,104821,14
B,134035,15
B,114556,16
A,207499,17
C,40119,18
B,115521,19
A,203657,20
B,40071,21
C,40317,22
B,61442,23
B,114662,24
B,101692,25
A,196164,26
A,203716,27
A,144146,28
B,34912,29
A,203205,30
A,180554,31
C,40240,32
A,146023,33
A,201990,34
B,108840,35
B,116506,36
C,40202,37
B,125753,38
B,109017,39
A,207499,40
A,204479,41
B,120875,42
B,64298,43
C,39855,44
