Dept,Weekly_Sales,IsHoliday,Store,Date
25,253.58,True,0,2011-12-30
93,672.19,False,0,2011-12-16
4,2975.69,False,0,2011-12-09
34,1984.66,True,0,2011-12-30
25,47384.96,False,0,2011-12-16
44,10362.14,False,0,2011-12-02
80,1933.26,True,0,2011-12-30
23,27498.17,False,0,2011-12-02
1,10402.53,False,0,2011-12-02
67,6029.15,False,0,2011-12-09
93,45958.28,False,0,2011-12-30
38,15204.91,False,0,2011-12-16
77,2959.31,False,0,2011-12-16
7,1542.26,False,0,2011-12-23
27,6246.42,True,0,2011-12-30
79,12264.65,False,0,2011-12-16
10,9978.57,False,0,2011-12-02
90,1348.74,True,0,2011-12-30
14,6656.13,False,0,2011-12-02
7,26401.68,False,0,2011-12-02
4,7916.5,False,0,2011-12-02
98,33434.14,False,0,2011-12-02
98,5210.47,True,0,2011-12-30
44,31019.07,False,0,2011-12-23
74,12307.58,False,0,2011-12-23
71,4321.5,False,0,2011-12-16
9,3036.32,False,0,2011-12-02
95,7128.82,False,0,2011-12-23
46,1736.26,False,0,2011-12-16
93,16948.19,False,0,2011-12-16
30,35630.67,False,0,2011-12-23
23,25880.0,False,0,2011-12-23
38,9831.4,False,0,2011-12-23
87,1573.37,True,0,2011-12-30
16,727.63,False,0,2011-12-02
55,37555.0,True,0,2011-12-30
67,28250.31,True,0,2011-12-30
16,20798.84,False,0,2011-12-16
16,25090.04,False,0,2011-12-23
1,413.16,False,0,2011-12-16
74,30603.07,False,0,2011-12-16
25,20594.99,False,0,2011-12-16
5,27454.16,False,0,2011-12-16
95,45751.36,False,0,2011-12-23
26,18024.24,True,0,2011-12-30
19,32998.78,False,0,2011-12-02
91,-467.71,False,0,2011-12-16
91,13362.13,False,0,2011-12-02
21,2688.74,False,0,2011-12-09
36,22900.08,False,0,2011-12-02
46,118636.66,False,0,2011-12-23
40,19766.3,False,0,2011-12-02
25,7496.4,False,0,2011-12-02
79,256.47,False,0,2011-12-02
13,2902.78,False,0,2011-12-22
82,6988.72,True,0,2011-12-30
21,3433.17,False,0,2011-12-09
27,39542.28,False,0,2011-12-09
30,1875.77,False,0,2011-12-09
38,6477.83,False,0,2011-12-16
11,23523.68,False,0,2011-12-09
48,16219.78,False,0,2011-12-09
96,10641.28,True,0,2011-12-30
74,13842.92,False,0,2011-12-09
8,75176.39,False,0,2011-12-02
87,32785.18,True,0,2011-12-30
36,4030.06,False,0,2011-12-02
31,28835.45,False,0,2011-12-16
55,12208.65,True,0,2011-12-30
80,623.2,False,0,2011-12-02
94,10246.65,False,0,2011-12-30
82,44.22,False,0,2011-12-02
3,39045.58,True,0,2011-12-30
14,2405.26,False,0,2011-12-02
20,1380.03,False,0,2011-12-16
98,36010.91,False,0,2011-12-16
3,4746.41,False,0,2011-12-02
16,13645.47,True,0,2011-12-30
7,18452.71,False,0,2011-12-02
79,1047.05,False,0,2011-12-16
13,65995.66,False,0,2011-12-23
97,30389.0,False,0,2011-12-02
92,28943.61,False,0,2011-12-09
36,30836.39,True,0,2011-12-30
26,3094.17,False,0,2011-12-09
29,19013.66,False,0,2011-12-02
26,82030.97,False,0,2011-12-16
16,26140.22,True,0,2011-12-30
10,5192.32,False,0,2011-12-02
40,4568.11,False,0,2011-12-30
79,41872.43,False,0,2011-12-23
72,5083.8,False,0,2011-12-16
36,85056.99,False,0,2011-12-16
83,1592.17,False,0,2011-12-02
30,1918.61,True,0,2011-12-30
3,15974.8,True,0,2011-12-30
96,307.07,False,0,2011-12-16
44,56457.76,False,0,2011-12-23
40,1263.43,False,0,2011-12-02
80,13169.81,False,0,2011-12-23
5,16135.84,False,0,2011-12-16
33,28403.97,True,0,2011-12-30
23,384.45,False,0,2011-12-02
94,4641.88,False,0,2011-12-02
10,9855.32,False,0,2011-12-09
10,1513.33,True,0,2011-12-30
26,24113.76,False,0,2011-12-16
10,5238.85,False,0,2011-12-23
79,21975.51,False,0,2011-12-16
79,21906.26,False,0,2011-12-02
33,20556.38,False,0,2011-12-16
87,2784.2,False,0,2011-12-23
18,2626.06,False,0,2011-12-23
33,43578.42,False,0,2011-12-23
42,1074.65,False,0,2011-12-02
49,20.11,False,0,2011-12-02
72,7094.27,True,0,2011-12-30
90,23374.48,False,0,2011-12-02
98,17449.42,False,0,2011-12-16
80,1814.15,True,0,2011-12-30
3,69122.54,False,0,2011-12-16
60,22184.18,False,0,2011-12-02
24,58398.92,False,0,2011-12-02
14,6727.59,True,0,2011-12-30
22,756.51,False,0,2011-12-23
16,30311.54,False,0,2011-12-09
82,143.84,False,0,2011-12-30
52,93.2,False,0,2011-12-09
3,2652.46,False,0,2011-12-02
56,102271.05,False,0,2011-12-09
59,4078.82,False,0,2011-12-02
22,1759.88,True,0,2011-12-30
29,16201.24,False,0,2011-12-23
17,10370.99,False,0,2011-12-09
24,17688.28,False,0,2011-12-16
82,1793.16,False,0,2011-12-02
10,18176.78,False,0,2011-12-09
98,4103.1,False,0,2011-12-16
7,24.9,False,0,2011-12-09
87,47507.78,True,0,2011-12-30
29,7875.31,False,0,2011-12-02
42,32643.12,True,0,2011-12-30
17,33859.49,False,0,2011-12-02
90,27638.48,True,0,2011-12-30
54,1365.34,False,0,2011-12-16
21,14329.15,False,0,2011-12-02
10,7145.18,False,0,2011-12-16
17,31874.43,True,0,2011-12-30
79,25931.01,False,0,2011-12-02
4,9276.33,False,0,2011-12-02
71,31187.93,False,0,2011-12-16
4,22.87,False,0,2011-12-02
96,14446.26,False,0,2011-12-23
81,4743.95,False,0,2011-12-09
82,25039.46,False,0,2011-12-23
29,16693.46,True,0,2011-12-30
9,18106.78,True,0,2011-12-30
14,1227.28,False,0,2011-12-02
34,367.41,False,0,2011-12-16
60,7761.25,False,0,2011-12-02
32,4271.76,True,0,2011-12-30
95,3262.02,True,0,2011-12-30
97,83246.86,True,0,2011-12-30
20,11173.59,False,0,2011-12-23
29,1193.85,False,0,2011-12-16
40,13595.24,False,0,2011-12-02
21,11133.47,False,0,2011-12-16
41,31709.73,False,0,2011-12-23
92,14066.63,True,0,2011-12-30
67,23984.58,False,0,2011-12-16
94,16017.74,False,0,2011-12-16
16,7652.69,False,0,2011-12-09
26,1570.8,False,0,2011-12-02
12,3098.08,False,0,2011-12-09
58,34661.1,False,0,2011-12-23
42,1074.15,True,0,2011-12-30
22,4350.1,False,0,2011-12-02
3,689.71,True,0,2011-12-30
46,5293.72,False,0,2011-12-16
79,47194.76,True,0,2011-12-30
22,1615.59,False,0,2011-12-02
56,3656.71,True,0,2011-12-30
3,4777.25,False,0,2011-12-09
23,8647.43,False,0,2011-12-02
24,33960.86,False,0,2011-12-23
92,3882.26,False,0,2011-12-11
74,18600.94,False,0,2011-12-02
2,406.77,False,0,2011-12-09
42,12447.82,False,0,2011-12-02
41,335.54,False,0,2011-12-23
14,2812.92,False,0,2011-12-11
2,2019.95,False,0,2011-12-16
36,166.57,False,0,2011-12-09
21,10517.35,False,0,2011-12-09
38,30837.87,False,0,2011-12-16
38,4747.07,False,0,2011-12-16
85,139.57,False,0,2011-12-02
37,16877.71,True,0,2011-12-30
56,7593.86,False,0,2011-12-30
56,4118.04,False,0,2011-12-21
21,30874.88,False,0,2011-12-09
34,2093.66,False,0,2011-12-16
29,58.73,True,0,2011-12-30
94,4695.15,False,0,2011-12-09
11,1860.79,False,0,2011-12-02
18,4143.71,False,0,2011-12-16
4,32509.78,False,0,2011-12-16
55,10416.06,False,0,2011-12-16
17,4602.14,True,0,2011-12-30
52,17138.45,False,0,2011-12-16
25,76308.29,False,0,2011-12-02
2,7471.26,True,0,2011-12-30
18,2492.47,False,0,2011-12-02
98,12690.71,False,0,2011-12-16
46,3670.11,False,0,2011-12-02
9,13422.08,False,0,2011-12-16
7,11.77,True,0,2011-12-30
56,62407.08,False,0,2011-12-16
96,1789.87,False,0,2011-12-09
60,2919.65,False,0,2011-12-02
5,43122.31,True,0,2011-12-30
36,4830.42,False,0,2011-12-02
80,6665.8,False,0,2011-12-14
35,17901.19,True,0,2011-12-30
79,12086.32,False,0,2011-12-02
94,10159.28,False,0,2011-12-30
41,7036.22,False,0,2011-12-16
72,10741.72,False,0,2011-12-02
27,31675.12,False,0,2011-12-09
55,4973.92,False,0,2011-12-16
40,11306.65,False,0,2011-12-02
46,18850.74,False,0,2011-12-02
83,9108.66,False,0,2011-12-23
90,26005.47,False,0,2011-12-16
28,12438.54,False,0,2011-12-23
38,21558.72,False,0,2011-12-16
79,4925.88,False,0,2011-12-02
5,2667.77,False,0,2011-12-16
83,5227.23,False,0,2011-12-02
46,2497.03,False,0,2011-12-16
1,30243.36,False,0,2011-12-23
83,1442.37,False,0,2011-12-23
12,557.97,False,0,2011-12-02
1,156836.75,True,0,2011-12-30
67,856.48,False,0,2011-12-30
87,476.61,False,0,2011-12-09
72,2435.12,False,0,2011-12-09
85,37223.49,False,0,2011-12-16
90,2989.99,False,0,2011-12-16
20,106813.85,False,0,2011-12-09
52,19035.36,False,0,2011-12-09
71,10.28,False,0,2011-12-23
82,8901.97,False,0,2011-12-30
81,15069.0,False,0,2011-12-16
80,11355.72,False,0,2011-12-02
13,21533.06,False,0,2011-12-02
67,30386.4,False,0,2011-12-02
91,116555.77,False,0,2011-12-02
74,34212.82,False,0,2011-12-02
29,12889.16,True,0,2011-12-30
94,2695.23,True,0,2011-12-30
79,383.26,False,0,2011-12-02
42,916.95,False,0,2011-12-02
20,6293.88,False,0,2011-12-09
94,276.6,False,0,2011-12-16
42,335.43,False,0,2011-12-02
95,26748.08,False,0,2011-12-09
67,9428.36,False,0,2011-12-16
26,13595.25,False,0,2011-12-02
2,1834.75,False,0,2011-12-23
28,11118.44,False,0,2011-12-09
92,854.24,True,0,2011-12-30
52,31540.89,False,0,2011-12-02
82,1474.33,False,0,2011-12-02
32,6679.79,False,0,2011-12-09
95,170.39,False,0,2011-12-02
27,10115.14,True,0,2011-12-30
46,2709.56,False,0,2011-12-09
93,55186.46,True,0,2011-12-30
60,1703.92,False,0,2011-12-16
67,16850.45,True,0,2011-12-30
30,2055.02,False,0,2011-12-02
83,6443.22,True,0,2011-12-30
11,44993.68,False,0,2011-12-16
8,49616.61,False,0,2011-12-16
56,9450.25,False,0,2011-12-16
79,10242.65,True,0,2011-12-30
24,79392.68,False,0,2011-12-16
1,31819.65,True,0,2011-12-30
7,67996.06,False,0,2011-12-16
38,5151.08,False,0,2011-12-30
93,81.83,False,0,2011-12-23
10,19515.67,True,0,2011-12-30
7,33026.9,True,0,2011-12-30
19,39171.1,False,0,2011-12-02
13,57939.3,False,0,2011-12-16
34,3113.95,False,0,2011-12-02
8,69651.64,False,0,2011-12-16
1,54456.84,False,0,2011-12-16
31,18859.44,False,0,2011-12-16
72,34693.24,True,0,2011-12-30
83,10102.83,True,0,2011-12-30
52,9905.21,False,0,2011-12-16
12,24104.66,False,0,2011-12-23
81,292.51,False,0,2011-12-16
79,139884.67,False,0,2011-12-16
24,73897.22,False,0,2011-12-09
33,33496.18,False,0,2011-12-23
60,4660.81,True,0,2011-12-30
28,27608.48,False,0,2011-12-23
87,2444.48,False,0,2011-12-09
40,13440.88,True,0,2011-12-30
81,3628.32,True,0,2011-12-30
45,22295.2,False,0,2011-12-09
3,1920.23,False,0,2011-12-09
98,1585.27,False,0,2011-12-16
54,10424.11,False,0,2011-12-02
5,12885.04,False,0,2011-12-09
56,5430.09,False,0,2011-12-09
40,9502.2,False,0,2011-12-02
28,14543.03,False,0,2011-12-23
22,7450.76,True,0,2011-12-30
12,2758.76,False,0,2011-12-16
72,4964.87,True,0,2011-12-30
38,2729.46,False,0,2011-12-16
67,4665.3,False,0,2011-12-02
44,37169.55,False,0,2011-12-09
82,210.99,False,0,2011-12-16
17,1432.43,False,0,2011-12-02
31,10709.5,False,0,2011-12-23
96,24740.92,False,0,2011-12-16
2,63105.52,False,0,2011-12-16
40,5155.06,False,0,2011-12-02
33,23666.53,False,0,2011-12-02
92,10936.94,False,0,2011-12-16
54,9078.82,False,0,2011-12-23
17,47513.32,False,0,2011-12-23
27,14193.1,True,0,2011-12-30
79,12754.32,False,0,2011-12-09
21,1164.61,False,0,2011-12-16
18,2499.37,False,0,2011-12-09
83,60789.3,False,0,2011-12-16
79,17131.01,False,0,2011-12-02
26,6217.03,False,0,2011-12-14
58,3519.43,False,0,2011-12-16
94,81594.92,False,0,2011-12-16
54,28439.51,True,0,2011-12-30
44,32729.2,True,0,2011-12-30
67,1205.47,False,0,2011-12-02
60,67203.46,False,0,2011-12-23
36,1878.43,False,0,2011-12-02
18,37315.02,False,0,2011-12-16
92,10325.82,True,0,2011-12-30
23,15779.34,False,0,2011-12-16
28,1018.46,True,0,2011-12-30
96,1686.75,False,0,2011-12-09
74,4690.05,True,0,2011-12-30
93,1412.68,False,0,2011-12-16
82,37304.86,False,0,2011-12-16
47,46803.42,False,0,2011-12-09
6,15691.6,False,0,2011-12-16
33,25517.63,True,0,2011-12-30
36,16911.91,False,0,2011-12-23
36,5204.5,False,0,2011-12-09
56,5319.58,False,0,2011-12-09
12,1193.8,False,1,2011-12-02
4,23641.15,False,1,2011-12-23
1,9281.74,True,1,2011-12-30
9,3857.89,False,1,2011-12-16
98,7600.11,False,1,2011-12-09
71,2180.57,False,1,2011-12-02
91,2433.63,False,1,2011-12-23
10,20524.47,False,1,2011-12-02
2,53149.07,True,1,2011-12-30
81,6253.22,False,1,2011-12-16
77,5606.08,False,1,2011-12-02
19,715.8,False,1,2011-12-23
40,347.04,True,1,2011-12-30
8,12760.3,False,1,2011-12-10
42,6040.74,False,1,2011-12-02
27,42097.05,False,1,2011-12-02
71,19525.03,True,1,2011-12-30
58,20655.97,False,1,2011-12-16
42,34844.66,False,1,2011-12-16
42,1121.35,False,1,2011-12-02
26,194.11,False,1,2011-12-16
36,34411.32,False,1,2011-12-02
22,4274.77,False,1,2011-12-16
7,48163.64,False,1,2011-12-02
18,9449.14,False,1,2011-12-09
7,7772.06,False,1,2011-12-16
97,2078.52,False,1,2011-12-02
7,6227.76,False,1,2011-12-23
97,43058.08,False,1,2011-12-02
82,50020.68,False,1,2011-12-30
4,3534.63,False,1,2011-12-16
83,2082.62,True,1,2011-12-30
38,1568.75,False,1,2011-12-09
6,1392.21,False,1,2011-12-23
29,8244.4,True,1,2011-12-30
91,46105.36,False,1,2011-12-23
22,10524.78,False,1,2011-12-09
51,214.48,True,1,2011-12-30
