Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,_is_imputed
0,2011-12-02,44.26,3.694,3348.3918,38.156666,842.8229,3120.8396,33674.46,129.84601,7.875,0.0,False
0,2011-12-09,53.29,3.201,797.3572,6997.4683,-0.08815535,189.7113,26182.6,217.02118,6.297,0.0,False
0,2011-12-09,37.22,3.162,1535.6813,50.23185,1084.0011,3791.0505,155.22,219.99408,7.234,0.0,False
0,2011-12-16,39.75,3.282,2374.2631333333334,2462.2039,722.4062203133333,2987.5998,1501.95,193.21884333333333,7.302666666666667,0.3333333333333333,True
0,2011-12-23,42.28,3.4019999999999997,3212.8449666666666,4874.17595,360.8113406266666,2184.1490999999996,2848.68,166.44360666666668,7.371333333333333,0.6666666666666666,True
0,2011-12-30,44.81,3.522,4051.4268,7286.148,-0.78353906,1380.6984,4195.41,139.66837,7.44,1.0,False
0,2011-12-30,34.28,3.311,134.5103,4019.7427,6.2911553,5078.4062,382.31,167.06216,7.251,1.0,False
1,2011-12-02,48.17,3.159,2475.7036,40.205338,868.1529,32.895164,28143.0,154.87148,8.337,0.0,False
1,2011-12-02,37.76,3.496,2452.2896,12.005624,12692.144,935.388,18162.41,176.90189,10.079,0.0,False
1,2011-12-02,42.49,3.403,4904.9663,0.5820408,894.71027,1421.8694,1564.99,129.84612,7.856,0.0,False
1,2011-12-09,28.56,3.329,5760.4326,8.188744,293.94873,1435.3851,2175.98,129.91972,7.793,0.0,False
1,2011-12-16,34.0,3.303666666666667,5897.567733333333,3516.6428293333333,205.87635533333332,1103.16038,2074.3,133.16659666666666,8.311,0.3333333333333333,True
1,2011-12-23,39.44,3.2783333333333333,6034.7028666666665,7025.096914666667,117.80398066666666,770.93566,1972.6200000000001,136.41347333333334,8.829,0.6666666666666666,True
1,2011-12-30,44.88,3.253,6171.838,10533.551,29.731606,438.71094,1870.94,139.66035,9.347,1.0,False
2,2011-12-02,13.4,3.701,2416.0522,63016.92,1114.4867,1504.7048,31463.75,129.84596,11.959,0.0,False
2,2011-12-02,37.55,3.332,11184.732,87.16531,186.93643,6348.724,18837.4,129.8879,7.538,0.0,False
2,2011-12-09,35.28,3.416,104.9726,32.891815,369.3824,46.366554,3730.73,137.58098,4.562,0.0,False
2,2011-12-16,36.845,3.2705,907.8137999999999,22.339611,547.73465,687.237577,2577.51,137.99817000000002,6.9895,0.0,True
2,2011-12-23,38.41,3.125,1710.655,11.787407,726.0869,1328.1086,1424.29,138.41536,9.417,0.0,False
2,2011-12-30,34.28,3.108,4203.7305,1130.4254,128.68446,1372.5656,3178.16,218.43431,9.348,1.0,False
3,2011-12-09,38.75,3.227,5110.4136,11.047046,353.6926,1379.146,8291.22,138.40558,8.124,0.0,False
3,2011-12-09,49.72,3.446,1215.8188,19.697807,224.31493,1632.5376,1259.97,207.3815,7.196,0.0,False
3,2011-12-09,43.34,3.38,4641.4614,15.876559,3.2765186,7.5039067,1894.78,146.38602,12.304,0.0,False
3,2011-12-16,39.02333333333333,3.486666666666667,6550.7416,3438.5543726666665,71.86464573333333,310.83747113333334,2316.6033333333335,141.1974,10.810333333333334,0.3333333333333333,True
3,2011-12-23,34.70666666666667,3.5933333333333333,8460.0218,6861.232186333334,140.45277286666666,614.1710355666667,2738.4266666666667,136.00878,9.316666666666666,0.6666666666666666,True
3,2011-12-30,30.39,3.7,10369.302,10283.91,209.0409,917.5046,3160.25,130.82016,7.823,1.0,False
3,2011-12-30,33.83,3.587,1653.812,38243.035,70.93447,488.0566,502.28,218.91978,7.798,1.0,False
4,2011-12-09,49.39,3.526,10068.547,13.684654,117.08223,1341.8097,1809.62,208.09709,7.171,0.0,False
4,2011-12-16,46.260000000000005,3.3225,6092.4815,10.6117052,5931.165115,1354.9483,2068.645,173.85932000000003,7.579000000000001,0.0,True
4,2011-12-23,43.13,3.119,2116.416,7.5387564,11745.248,1368.0869,2327.67,139.62155,7.987,0.0,False
4,2011-12-30,11.24,3.118,2950.9875,89077.51,60.50915,12.401009,2083.19,200.40541,5.829,1.0,False
4,2011-12-30,39.61,3.108,10220.133,59.003963,2939.8147,226.50446,1332.12,219.84637,10.465,0.0,False
4,2011-12-30,31.55,3.112,5927.7427,56161.414,495.95898,3966.2217,1087.66,133.14291,6.631,1.0,False
5,2011-12-02,26.58,3.115,142.5257,10533.551,199.58923,1399.3295,9571.72,129.88432,7.869,0.0,False
5,2011-12-02,47.23,3.651,74.6576,23366.072,1523.4352,19.548916,2742.31,205.4689,7.627,0.0,False
5,2011-12-09,47.48,3.129,5798.874,5.467588,7.111553,5841.0376,609.63,131.3599,10.315,0.0,False
5,2011-12-16,30.08,3.522,285.7174,19252.826,268.68674,386.25482,334.96,215.74057,7.429,0.0,False
5,2011-12-23,20.965,3.4805,4547.563700000001,9636.819478000001,194.803925,1083.76091,4019.27,210.76045,9.6585,0.5,True
5,2011-12-30,11.85,3.439,8809.41,20.812956,120.92111,1781.267,7703.58,205.78033,11.888,1.0,False
6,2011-12-02,48.16,3.413,3641.6943,16329.604,905.73676,1507.9653,29593.12,129.84601,8.494,0.0,False
6,2011-12-02,45.81,3.553,1224.5118,5.4596877,3.576798,6509.533,2896.11,219.49304,7.812,0.0,False
6,2011-12-09,42.27333333333333,3.4186666666666667,1908.0722,15736.0597918,104.80606533333332,4491.95711,2366.17,219.22775666666666,7.219666666666667,0.0,True
6,2011-12-16,38.73666666666667,3.284333333333333,2591.6326,31466.6598959,206.03533266666665,2474.38122,1836.23,218.96247333333335,6.6273333333333335,0.0,True
6,2011-12-23,35.2,3.15,3275.193,47197.26,307.2646,456.80533,1306.29,218.69719,6.035,0.0,False
6,2011-12-30,26.58,3.162,8709.026,10355.433,83.378876,296.2514,5438.44,222.31738,9.942,1.0,False
6,2011-12-30,37.42,3.392,4566.3833,52.983734,1110.6382,2.4624848,1045.7,220.94295,4.726,1.0,False
7,2011-12-02,53.76,3.105,2748.082,3.865746,279.19598,1446.426,6355.31,132.3254,6.335,0.0,False
7,2011-12-02,48.96,3.161,243.4173,74502.53,529.20056,3508.1526,20492.68,137.4079,10.688,0.0,False
7,2011-12-09,36.11,3.161,519.5254,17.01459,237.73718,122.541626,1971.69,135.1492,7.468,0.0,False
7,2011-12-09,43.98,3.36,4034.5483,10533.551,999.4529,777.01105,3900.5,129.86905,6.643,0.0,False
7,2011-12-16,43.489999999999995,3.2565,4412.6771499999995,5358.652545,854.8821,743.28055,2181.26,129.917075,9.0505,0.0,True
7,2011-12-23,43.0,3.153,4790.806,183.75409,710.3113,709.55005,462.02,129.9651,11.458,0.0,False
7,2011-12-30,43.0,3.153,4790.806,183.75409,710.3113,709.55005,462.02,129.9651,11.458,0.0,True
8,2011-12-02,30.24,3.257,6412.0923,28.297724,8.727882,650.4559,3274.13,137.73639,6.804,0.0,False
8,2011-12-09,30.05,3.671,5861.2866,1106.6671,116.63647,1394.5413,5757.09,217.59073,12.16,0.0,False
8,2011-12-16,44.77,3.24,197.0708,46.697826,846.3417,22.431934,29225.61,130.03531,4.435,0.0,False
8,2011-12-23,41.56,3.436,2620.8666999999996,46.409256,571.5897649999999,254.14284700000002,15487.125,165.53770500000002,6.817,0.5,True
8,2011-12-30,38.35,3.632,5044.6626,46.120686,296.83783,485.85376,1748.64,201.0401,9.199,1.0,False
8,2011-12-30,37.58,3.667,371.4626,13.6424055,2266.6077,59.619644,349.71,148.37924,6.98,1.0,False
9,2011-12-02,47.54,3.098,4054.7715,16.352125,7.2385845,1327.2328,3607.79,129.9931,8.578,0.0,False
9,2011-12-09,43.07,3.2705,2251.44485,788.8342624999999,7.2698395,1356.97455,4759.77,163.310835,7.42,0.0,True
9,2011-12-16,38.6,3.443,448.1182,1561.3164,7.3010945,1386.7163,5911.75,196.62857,6.262,0.0,False
9,2011-12-23,17.72,3.123,135.3164,8428.335,1156.3743,4518.7466,494.71,180.24712,7.011,0.0,False
9,2011-12-23,46.01,3.39,5074.872,28.641731,595.96277,806.60406,6381.25,137.30435,5.785,0.0,False
