Type,Size,Store
A,217948,0
C,47179,1
A,202759,2
A,210065,3
B,208874,4
B,35883,5
B,125507,6
A,203674,7
B,166785,8
B,144778,9
A,210920,10
A,206823,11
A,217871,12
C,36271,13
C,117581,14
A,150331,15
A,202706,16
C,137859,17
A,37806,18
A,213802,19
A,203073,20
B,43699,21
B,86131,22
C,117965,23
A,206754,24
A,36904,25
C,204318,26
B,114662,27
C,102943,28
A,63592,29
B,53353,30
C,128886,31
A,126365,32
B,73392,33
A,212687,34
B,126844,35
A,119297,36
C,37394,37
A,101988,38
B,90500,39
A,141725,40
B,113993,41
B,52268,42
A,170263,43
B,148617,44
