Store,Date,CPI,Fuel_Price,IsHoliday,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,Temperature,Unemployment,_is_imputed
764285,2011-12-02,185.4635,3.635,False,2203.5248,49579.16112839183,5604.443987725035,1790.9858168715025,20830.63,43.23,8.805,False
764285,2011-12-02,185.4678989,3.624,False,1841.033,104519.54,5396.327082464701,1889.0069378629832,20840.91,42.68,8.805,False
764285,2011-12-09,185.6054574,3.518,False,1895.9785,98254.2087697034,2417.754921716667,1777.0899051601696,17741.91,38.16,8.805,False
764285,2011-12-16,,,False,,,,,,,,True
764285,2011-12-23,186.0216136,3.489,True,2191.9007,104519.54,120.34996106232684,1864.1709783116555,13392.73,37.24,8.805,False
764285,2011-12-30,185.9222784,3.488,True,2115.6864,59261.491300150665,293.3927913636496,344.76177028338327,6177.25,37.24,8.805,False
1088874,2011-12-02,196.8795225,3.528,False,2328.1218,52627.52469387262,2135.382276513994,127.25051593063358,1827.51,44.96,6.586,False
1088874,2011-12-02,196.9359233,3.524,False,3116.115,52627.53045501182,2135.382187838128,958.7421715900776,1336.37,44.84,6.586,False
1088874,2011-12-09,,,False,,,,,,,,True
1088874,2011-12-16,197.042893,3.437,True,2757.1164,52626.03326348312,2113.843979984116,748.4795257469784,1099.9,43.82,6.586,False
1088874,2011-12-23,197.1977143,3.393,True,3580.5466,52591.42107344264,131.4649306458614,891.1969860367433,1046.07,40.35,6.586,False
1088874,2011-12-23,197.0896321,3.392,True,3011.7345,48032.36951424919,512.4607058158767,2.0,1117.87,43.43,6.586,False
1088874,2011-12-30,,,True,,,,,,,,True
1101777,2011-12-02,204.2914189,3.202,False,6894.462,20685.20581099713,233.13009180199637,856.5486396019351,5116.32,31.73,4.643,False
1101777,2011-12-02,204.3156132,3.206,False,6892.7288,20155.97667952511,2880.773228776096,644.8795028272116,4695.22,31.97,4.643,False
1101777,2011-12-09,,,False,,,,,,,,True
1101777,2011-12-16,204.4868208,3.163,False,6148.6281,20665.379463211742,1062.6247739294772,491.5031579414886,776.55,30.13,4.643,False
1101777,2011-12-23,204.6688442,3.145,False,1511.9514,18606.910399783435,363.0866544412173,2.0,366.04,26.46,4.643,False
1101777,2011-12-30,204.645948,3.124,False,1758.5421,20685.20729764108,132.58138192480297,486.622276975269,376.27,15.12,4.643,False
1154446,2011-12-02,152.4055721,3.304,False,1261.7128,13657.631468929105,330.6072046781497,577.8693372020052,21376.67,47.53,7.721,False
1154446,2011-12-02,152.4126559,3.33,False,1403.1563,7525.91816410132,281.64976175765054,4294.891351855476,22353.63,40.28,7.721,False
1154446,2011-12-09,,,False,,,,,,,,True
1154446,2011-12-16,152.6204581,3.239,False,2053.6856,16811.06300334508,181.9826111521696,4204.718724772409,19962.47,41.84,7.721,False
1154446,2011-12-23,,,False,,,,,,,,True
1154446,2011-12-30,152.9139844,3.209,False,3172.0668,26603.62968652502,126.16734297531816,4287.9152102161925,22314.68,41.68,7.721,False
1154446,2011-12-30,153.0326572,3.157,False,2806.933,28501.256109628368,173.17629092016062,102.59649046426031,2238.47,47.61,7.721,False
1490766,2011-12-02,145.5860964,3.336,False,9107.7069,8186.194954379624,4711.726542915988,6213.751487335143,34898.55,32.28,9.996,False
1490766,2011-12-09,145.6641145,3.285,False,7332.3705,0.03,9962.265775508911,6213.586805758482,35082.11,36.21,9.996,False
1490766,2011-12-16,145.7347268,3.223,True,8842.5537,16263.21994760658,1891.6307306704944,5966.019963963457,13432.67,29.78,9.996,False
1490766,2011-12-23,145.6732973,3.205,True,9108.2051,78326.73708327273,274.7776642419755,3335.5647251301098,4445.98,28.48,9.996,False
1490766,2011-12-23,145.9890007,3.205,True,6379.0902,21263.941375108752,3494.2546577584585,2515.972080937404,4446.15,28.48,9.996,False
1490766,2011-12-30,,,True,,,,,,,,True
1539145,2011-12-02,147.4831736,3.408,False,3368.9917,35423.92815808949,73.81693072562251,1230.164645233595,4904.23,56.02,7.723,False
1539145,2011-12-02,147.4833068,3.412,False,656.0218,35268.39575606124,73.81693072562251,1225.0335002221302,4345.61,52.01,7.723,False
1539145,2011-12-09,,,False,,,,,,,,True
1539145,2011-12-16,147.5830434,3.327,False,2957.1975,34418.263599816746,73.81693072562251,921.2649444032588,2927.66,49.04,7.723,False
1539145,2011-12-23,147.7450486,3.307,False,791.5496,32706.9243604626,73.81693072562251,2.0,1219.71,43.49,7.723,False
1539145,2011-12-30,147.8429799,3.307,True,3504.8286,34673.70891552697,73.81693072562251,674.3909837878182,1898.57,46.57,7.723,False
1623590,2011-12-02,177.9133314,3.275,False,239.2994,25972.672073603128,27.372047488293365,1698.9901011320226,2501.77,48.23,6.861,False
1623590,2011-12-02,177.9330735,3.275,False,772.1307,26048.836364233925,7.198152842476881,1812.3327425061984,2501.82,46.72,6.861,False
1623590,2011-12-09,178.1670277,3.229,False,749.7102,22353.361710420497,14.435345947225828,1073.0187281961582,2434.99,48.41,6.861,False
1623590,2011-12-16,,,False,,,,,,,,True
1623590,2011-12-23,178.3184097,3.155,True,421.1824,12067.362937928929,46.30657364782029,2.0,1213.16,51.6,6.861,False
1623590,2011-12-23,178.5050537,3.177,True,785.9465,20417.606813508475,8.256861226920696,741.6377576127022,1426.84,51.54,6.861,False
1623590,2011-12-30,,,True,,,,,,,,True
1779709,2011-12-02,214.6309467,3.268,False,614.6051,37408.76072633626,391.81479176957953,1142.1571768469382,5272.93,45.83,5.59,False
1779709,2011-12-02,214.7130941,3.268,False,1972.832,38378.39318178054,392.0240726841539,1286.252574134481,5273.19,44.37,5.59,False
1779709,2011-12-09,,,False,,,,,,,,True
1779709,2011-12-16,214.9810512,3.246,False,1158.0564,36556.07622695234,371.6364776943871,685.1114827380138,4984.01,42.75,5.59,False
1779709,2011-12-23,215.2139451,3.186,True,1886.9317,35951.40435383908,207.36071314656,1394.370095064466,3294.05,35.03,5.59,False
1779709,2011-12-30,215.1424294,3.186,False,614.6046,30523.621112714776,136.66846276014775,231.2099348937633,360.42,41.25,5.59,False
1924965,2011-12-02,199.4999302,3.412,False,3497.5988,93173.99630133787,2411.588093981298,3216.7093602435457,13784.3,53.74,9.8,False
1924965,2011-12-02,199.5092191,3.298,False,1186.7665,61105.88203595627,3053.4634470750443,3131.299579374974,13774.46,58.82,9.8,False
1924965,2011-12-09,199.8284973,3.296,False,2494.0365,80070.08456341,1334.5757083964731,2614.8530434903514,12319.97,52.33,9.8,False
1924965,2011-12-16,,,False,,,,,,,,True
1924965,2011-12-23,200.1963422,3.302,True,4496.4406,99409.08583013066,96.16771394972068,1546.53821863175,6443.83,48.74,9.8,False
1924965,2011-12-23,200.1571777,3.294,True,2010.7142,52509.04912179696,748.6127736390503,517.0516048975171,11398.82,48.87,9.8,False
1924965,2011-12-30,,,True,,,,,,,,True
2213040,2011-12-02,136.7134461,3.372,False,6178.0937,81919.8720054906,5807.433602811196,4776.634090071749,24584.24,33.97,7.073,False
2213040,2011-12-02,136.7134743,3.371,False,8111.9766,104519.54,211.15063783179795,4532.600435733263,18399.52,33.97,7.073,False
2213040,2011-12-09,136.7338118,3.306,False,6764.9815,88874.31327414454,232.6602746496376,3837.06442029598,4744.54,33.97,7.073,False
2213040,2011-12-16,,,False,,,,,,,,True
2213040,2011-12-23,136.9119759,3.215,False,3228.1955,47729.14603378792,5807.433602836347,3682.9048046231146,1811.11,34.56,7.073,False
2213040,2011-12-23,136.9142075,3.234,False,7733.9311,104519.54,211.15183534184337,1570.331663652854,2016.12,33.97,7.073,False
2213040,2011-12-30,,,False,,,,,,,,True
2475371,2011-12-02,216.1003106,3.359,False,7135.4387,0.03,2016.885755612052,1250.407722142866,28361.37,48.81,5.796,False
2475371,2011-12-02,216.242066,3.345,False,5152.7297,0.03,2113.4009767229622,1203.5406274793618,28488.6,52.45,5.796,False
2475371,2011-12-09,216.4654578,3.267,False,5649.142,3225.2132464571214,578.0551697901377,738.7535490297251,28201.11,47.6,5.796,False
2475371,2011-12-16,,,False,,,,,,,,True
2475371,2011-12-23,216.5878108,3.219,False,5970.2874,8140.633083984857,92.87286060455986,595.9566131351573,4082.08,37.19,5.796,False
2475371,2011-12-30,216.8602882,3.219,False,5590.3921,15307.78520125067,119.12669083261152,1406.724989465567,28487.74,39.06,5.796,False
2879262,2011-12-02,199.7190623,3.483,True,689.7542,67718.50130627012,1990.593995290429,831.6680993871338,3520.82,56.68,7.581,False
2879262,2011-12-02,199.7360234,3.48,False,2994.2794,67718.50082920669,2297.312942901121,867.3095431679993,3615.7,57.59,7.581,False
2879262,2011-12-09,,,False,,,,,,,,True
2879262,2011-12-16,199.8969042,3.465,True,1160.8545,67640.50731673426,474.58234551596695,801.5788868588633,2778.78,55.82,7.581,False
2879262,2011-12-23,199.9793565,3.449,False,664.6029,59100.035928128826,92.45570560616142,2.0,1618.69,47.77,7.581,False
2879262,2011-12-30,200.1190693,3.385,False,2968.6931,58479.733934758166,452.93123246083417,783.3507370347178,1972.75,55.66,7.581,False
4536565,2011-12-02,191.7980447,3.499,False,8491.9501,5104.878991794045,13306.59038721538,3732.750832180702,35906.36,46.56,7.57,False
4536565,2011-12-02,191.8037464,3.442,False,7530.8341,2189.45808670863,13304.204719416615,3030.934864492761,35906.35,49.9,7.57,False
4536565,2011-12-09,,,False,,,,,,,,True
4536565,2011-12-16,192.0211374,3.405,False,7631.0891,29643.565346525786,6523.723330897601,2829.7108608136405,33854.06,43.47,7.57,False
4536565,2011-12-23,192.208958,3.392,True,5241.9791,61249.117976199086,415.2775431024536,837.1640711663995,4295.57,42.62,7.57,False
4536565,2011-12-23,192.2648016,3.402,True,8063.0616,98367.3184261432,464.3578809914122,2765.2314912129564,3903.37,42.41,7.57,False
4536565,2011-12-30,,,True,,,,,,,,True
4684864,2011-12-02,181.7809777,3.297,False,9634.3044,0.03,12294.459340897874,6111.899174380794,35180.17,34.57,6.468,False
4684864,2011-12-09,,,False,,,,,,,,True
4684864,2011-12-16,181.9450711,3.297,False,9541.1469,11874.547847414304,15057.590015560132,6178.033155162804,35180.29,38.56,6.468,False
4684864,2011-12-16,182.2878506,3.198,False,4868.2837,7637.667571198642,324.18025140613975,1021.2130952504664,3132.39,28.15,6.468,False
4684864,2011-12-16,182.182891,3.274,False,7860.1659,14285.732954696972,8070.865510185535,4023.829317409844,3239.88,33.62,6.468,False
4684864,2011-12-23,182.2978109,3.195,True,6865.0034,87054.47929162609,837.3724389090175,2207.1729533501007,3132.39,34.55,6.468,False
4684864,2011-12-30,,,True,,,,,,,,True
5089766,2011-12-02,200.5130598,3.234,False,11472.59,0.03,6742.942383654953,2878.8248241268,35488.88,34.86,7.888,False
5089766,2011-12-02,200.5329989,3.244,False,11472.59,863.1142997598281,3461.521325184048,3113.036099064426,35488.88,34.91,7.888,False
5089766,2011-12-09,,,False,,,,,,,,True
5089766,2011-12-16,200.6862424,3.196,False,10390.0003,6210.888087874434,2541.174953826288,2819.544050216125,5807.53,33.56,7.888,False
5089766,2011-12-23,200.8050344,3.192,False,6276.3687,15043.992378052582,3069.5041891370133,928.6291502348108,5807.52,22.9,7.888,False
5089766,2011-12-23,200.8171592,3.192,False,11472.59,78442.51223577131,567.1016381004991,2500.52436488264,5807.52,32.83,7.888,False
5089766,2011-12-30,,,False,,,,,,,,True
5301261,2011-12-02,196.7358123,3.368,False,3333.07,5285.488700601024,5918.925532238683,2758.450980792799,28703.43,40.25,4.749,False
5301261,2011-12-02,196.7362544,3.377,False,5650.1134,31990.414314808088,3199.5094312544315,3518.553508942382,27521.84,36.55,4.749,False
5301261,2011-12-09,196.8633578,3.362,False,4676.6863,37333.12035043917,1065.178384942267,2733.945151063277,2033.91,33.71,4.749,False
5301261,2011-12-16,,,False,,,,,,,,True
5301261,2011-12-23,197.1371552,3.362,False,4889.5004,77945.69716365961,192.59044831953375,3624.8724956000224,749.79,32.38,4.749,False
5301261,2011-12-30,197.1441964,3.362,True,2510.7434,38282.72484816933,607.6614812489379,1429.28354122913,740.23,32.97,4.749,False
5650212,2011-12-02,220.9940303,3.233,False,4522.4821,24582.45294426592,724.3988507249283,1095.9626525026772,6811.93,52.84,6.03,False
5650212,2011-12-02,220.9903043,3.231,False,4527.0357,22318.79516168577,394.370359668672,1179.8985969910393,721.92,56.57,6.03,False
5650212,2011-12-09,,,False,,,,,,,,True
5650212,2011-12-16,221.2972106,3.203,False,4461.0959,47900.59410613822,379.0033271905749,726.299417890273,2507.4,50.31,6.03,False
5650212,2011-12-23,221.5709412,3.172,False,4340.1671,94843.7456794593,158.77192173726115,1060.9464965832117,1695.67,49.09,6.03,False
5650212,2011-12-23,221.6362764,3.176,False,2238.3731,78993.26870244482,471.2867869969286,345.6709879317217,7019.08,44.65,6.03,False
5650212,2011-12-30,,,False,,,,,,,,True
6488574,2011-12-02,147.5137567,3.383,False,940.8501,69407.01059092897,583.7862022298164,4845.299653839991,21687.41,56.82,7.635,False
6488574,2011-12-02,147.5138619,3.363,True,914.058,75986.54730941755,123.31156061985624,4835.798332274169,20585.9,59.69,7.635,False
6488574,2011-12-09,147.5475549,3.324,True,964.0626,57924.15025068618,150.72300293092735,4087.377586229672,16019.71,53.44,7.635,False
6488574,2011-12-16,,,True,,,,,,,,True
6488574,2011-12-23,147.7850744,3.313,True,1260.0088,65939.1127018383,128.09241991748385,4269.069836797822,4289.29,46.5,7.635,False
6488574,2011-12-30,147.7544484,3.307,True,1776.4474,38728.91865744022,1111.0775910067596,1814.9390622317,13370.01,43.99,7.635,False
7020511,2011-12-02,145.1544641,3.253,False,4576.3181,10156.945910293043,1796.398462948492,483.9287986581277,4309.82,40.57,9.178,False
7020511,2011-12-02,145.1543997,3.253,False,4721.8348,11766.282373098007,141.31857362414436,2160.052811554363,13640.58,39.55,9.178,False
7020511,2011-12-09,,,False,,,,,,,,True
7020511,2011-12-16,145.2200396,3.248,False,4824.7967,10877.677182167292,820.7502209476804,403.5983097194301,12933.85,39.0,9.178,False
7020511,2011-12-23,145.5507644,3.199,False,3972.8862,4787.880884194694,1810.375263857848,396.5876173205998,3986.94,35.53,9.178,False
7020511,2011-12-30,145.5712079,3.159,True,4921.245,11431.06743028865,152.21878138963248,2127.4756756031293,13640.58,37.61,9.178,False
