Size,Store,Type
142257,2879262,B
219356,14285559,A
187216,9798665,A
119440,9956434,C
48903,10275130,C
37475,7218420,C
218312,7177626,A
40568,7020511,C
121900,13339386,A
219596,4684864,A
53051,15709902,A
218076,5089766,A
87385,5301261,B
184486,13849251,B
167988,8273242,B
134685,1101777,A
122142,2475371,A
128005,11845276,B
191293,764285,B
180174,12011041,B
164830,12478429,A
141028,16365361,C
81871,10563809,C
193385,1539145,B
191345,5650212,B
46113,11712778,C
218104,4536565,A
189902,1490766,A
199897,14945591,A
190735,6488574,A
116212,16166434,A
203699,16116667,A
57365,1154446,A
109497,1924965,B
51374,13237662,C
38268,1623590,C
69485,12174865,A
185540,12396579,A
202465,2213040,A
37799,1779709,C
158714,10045201,B
190286,14447683,A
188049,1088874,B
208567,10742985,B
150690,15422460,C
